00063;[2957, 6767, 2528, 1656, 6542, 3563, 896, 4366, 4106, 4046]
00064;[1660, 4106, 2907, 3683, 2528, 2266, 2492, 6767, 3563, 2439]
00065;[6436, 3726, 5906, 6325, 877, 312, 5746, 2, 1770, 4912]
00066;[6436, 877, 24, 312, 2, 4291, 4912, 4451, 5906, 3119]
00067;[877, 6436, 5906, 312, 3051, 3119, 2439, 1926, 2, 4912]
00068;[2439, 2440, 1928, 3563, 877, 2, 6687, 6305, 3976, 6689]
00069;[2439, 2440, 5613, 3563, 1330, 3376, 6689, 2347, 5699, 566]
00070;[2826, 2439, 2823, 2787, 2848, 2810, 6092, 2440, 2895, 2394]
00071;[3966, 3343, 2439, 4022, 3189, 437, 2440, 6087, 6254, 2932]
00072;[3966, 3343, 2439, 3189, 3577, 2440, 1709, 5928, 2040, 1791]
00073;[3966, 6250, 3343, 437, 6087, 5996, 5922, 6178, 2764, 4022]
00074;[3966, 2932, 5922, 4731, 3189, 2958, 2967, 3343, 1585, 2917]
00075;[4578, 4569, 669, 413, 4574, 2411, 2412, 3966, 624, 5117]
00076;[3966, 5246, 4022, 5256, 5928, 578, 2439, 5484, 6162, 5922]
00077;[5246, 5928, 578, 3966, 5484, 1146, 4022, 2362, 3251, 2439]
00078;[2439, 1330, 627, 3343, 6250, 3966, 6186, 2944, 654, 437]
00079;[2439, 2944, 3966, 6462, 6087, 3343, 6250, 627, 4605, 1709]
00080;[4396, 2889, 4019, 2895, 2894, 3966, 2439, 2832, 2901, 3580]
00081;[566, 3963, 2998, 4019, 4440, 2997, 1594, 543, 4396, 3580]
00082;[4708, 2439, 4635, 4402, 6742, 4354, 4574, 4729, 4698, 4746]
00083;[3285, 3966, 4022, 6087, 3343, 3318, 5498, 1457, 3189, 5489]
00084;[3285, 3966, 6087, 3299, 3343, 4022, 3189, 5498, 3318, 5193]
00085;[3966, 4574, 5922, 3318, 2440, 3282, 4735, 4022, 2439, 6087]
00086;[3318, 3966, 5066, 4921, 5130, 4708, 4574, 3189, 3340, 3343]
00087;[3966, 2774, 2802, 5466, 5922, 5528, 3189, 5484, 437, 2806]
00088;[3966, 5922, 3967, 3271, 1783, 6087, 6254, 3189, 4022, 3066]
00089;[1783, 3271, 6335, 6228, 3272, 3066, 1973, 6274, 6014, 2439]
